0,228,420
1,228,434
2,214,437
3,199,443
4,189,447
5,177,448
6,172,453
7,163,459
8,144,468
9,123,481
10,113,492
11,99,499
12,87,500
13,80,507
14,80,510
15,81,512
16,80,516
17,77,523
18,75,529
19,67,540
20,65,544
21,65,544
22,61,550
23,56,562
24,51,570
25,50,572
26,49,576
27,49,579
28,48,582
29,48,584
30,49,586
31,49,586
32,48,585
33,47,582
34,47,580
35,48,581
36,48,581
37,48,581
38,47,580
39,47,578
40,46,577
41,46,576
42,46,576
43,46,577
44,46,577
45,46,577
46,46,576
47,46,577
48,47,576
49,47,575
50,47,578
51,47,562
52,46,573
53,47,582
54,202,33
55,46,585
56,46,586
57,46,586
58,46,586
59,46,586
60,46,586
61,46,586
